id,text,label
283,帮我查一下今天有没有下雨,LOCAL
284,打开浏览器并搜索“翻译”,LOCAL
285,帮我将当前文件复制到U盘,LOCAL
286,打开微信聊天记录导出文件夹,LOCAL
287,帮我搜索所有txt文件,LOCAL
288,打开桌面上的“作业.docx”,LOCAL
289,帮我查看还有多少内存可用,LOCAL
290,打开浏览器并进入在线词典,LOCAL
291,帮我关闭屏幕,LOCAL
292,打开系统声音设置,LOCAL
293,帮我搜索昨天修改过的所有文件,LOCAL
294,打开下载文件夹中的安装程序,LOCAL
295,帮我连接蓝牙鼠标,LOCAL
296,打开系统照片查看器,LOCAL
297,帮我查看当前IP地址,LOCAL
298,打开浏览器并进入地图网站,LOCAL
299,帮我切换到中文输入法,LOCAL
300,打开桌面上的“名单.xlsx”,LOCAL
301,请帮我写一份详细的西红柿炒鸡蛋做法，并整理成适合打印的Word文档,	CLOUD
302,根据我的创业计划，帮我分析这个项目的优势、风险和未来发展方向,CLOUD
303,为一家面向年轻人的咖啡店设计一个Logo创意，并解释设计理念,CLOUD
304,写一篇关于人工智能对教育影响的1500字文章,CLOUD
305,根据“未来城市”主题，设计一个展览策划方案,CLOUD
306,帮我写一份适合初中生的环保演讲稿,CLOUD
307,分析一下苹果公司未来三年的股价走势可能受到哪些因素影响,CLOUD
308,请帮我规划一次为期7天的日本旅行，并给出每天的安排,CLOUD
309,帮我根据这份简历设计一段面试自我介绍,CLOUD
310,为我的游戏工作室想10个有未来感的英文名字,CLOUD
311,根据“故宫与未来科技”主题，设计一个活动宣传方案,CLOUD
312,请写一篇关于新能源汽车行业的市场分析报告,CLOUD
313,帮我构思一个悬疑小说的完整故事大纲,CLOUD
314,为我的AI助手设计一个简洁又有科技感的界面风格,CLOUD
315,请分析一下这个商业计划书中有哪些不合理的地方,CLOUD
316,帮我写一份适合投资人的融资演讲稿,CLOUD
317,根据“海边日落”这个主题，设计一个插画创意,CLOUD
318,请帮我写一份产品发布会主持词,CLOUD
319,帮我比较一下React和Vue在大型项目中的优缺点,CLOUD
320,根据我的需求，为一款校园社交App设计核心功能,CLOUD
321,请帮我写一篇关于如何提高学习效率的文章,CLOUD
322,为一家新开的甜品店设计宣传语和品牌故事,CLOUD
323,请根据“太空殖民地”设定一个科幻世界观,CLOUD
324,分析一下最近几年短视频平台的发展趋势,CLOUD
325,帮我制定一个三个月的英语学习计划,CLOUD
326,请帮我为我的独立游戏设计5个不同风格的剧情开头,CLOUD
327,根据“低碳校园”主题，写一份活动策划书,CLOUD
328,帮我设计一个用于招聘程序员的面试题清单,CLOUD
329,请帮我分析这篇文章的逻辑问题和表达不足,CLOUD
330,为一个关于传统文化的展览写宣传文案,CLOUD
331,请帮我写一份详细的创业商业模式分析,CLOUD
332,根据“机械与自然融合”设计一个角色形象,CLOUD
333,帮我规划一个适合大学生的副业方案,CLOUD
334,请写一篇关于未来十年AI行业变化的预测,CLOUD
335,根据我的要求，为一款番茄钟App设计功能结构,CLOUD
336,请帮我分析一下这个网站为什么用户留存率低,CLOUD
337,帮我设计一个学校运动会的完整活动流程,CLOUD
338,请根据“雨夜、老车站、失踪的人”创作一个故事,CLOUD
339,为我的产品设计一套用户激励机制,CLOUD
340,请帮我写一篇关于手机成瘾问题的调查报告,CLOUD
341,根据“东方幻想风格”帮我构思一款游戏世界观,CLOUD
342,请帮我比较一下不同云服务平台的优缺点,CLOUD
343,帮我制定一个减肥和健身的两个月计划,CLOUD
344,请根据这段会议记录，总结重点并给出改进建议,CLOUD
345,帮我设计一个适合儿童的英语学习游戏,CLOUD
346,请写一份关于线上教育平台的竞品分析,CLOUD
347,根据“神话中的凤凰”设计一个品牌形象,CLOUD
348,请帮我写一篇关于元宇宙发展的分析文章,CLOUD
349,帮我为一个宠物店设计完整的营销方案,CLOUD
350,请根据“未来图书馆”主题设计一个空间布局方案,CLOUD
351,帮我分析一下我的简历为什么没有收到面试邀请,CLOUD
352,请帮我写一个适合发布在公众号上的旅游推文,CLOUD
353,根据“森林里的废弃机器人”写一个短篇故事,CLOUD
354,帮我为一款学习软件设计会员体系,CLOUD
355,请分析一下为什么这个产品评价两极分化,CLOUD
356,帮我设计一个适合中学生的科学实验活动,CLOUD
357,请根据“蒸汽朋克城市”构思一个游戏背景,CLOUD
358,帮我写一份关于共享单车行业的调研报告,CLOUD
359,请帮我设计一个Logo，主题是“星空与海洋”,CLOUD
360,根据我的要求，帮我生成一份详细的公司组织架构方案,CLOUD
361,请分析一下这家餐厅经营失败的可能原因,CLOUD
362,帮我写一个适合短视频平台的剧情脚本,CLOUD
363,请根据“未来学校”设计一个全新的课程体系,CLOUD
364,帮我制定一个适合零基础的编程学习路线,CLOUD
365,请帮我分析这个营销活动为什么没有效果,CLOUD
366,帮我设计一个适合老年人的手机界面,CLOUD
367,请根据“深海遗迹”设计一个冒险游戏关卡,CLOUD
368,帮我写一篇关于无人驾驶汽车的分析报告,CLOUD
369,请帮我比较一下几种主流数据库的适用场景,CLOUD
370,根据“被遗忘的城市”写一个悬疑故事大纲,CLOUD
371,帮我设计一个线上课程的定价方案,CLOUD
372,请帮我写一份关于直播行业的未来趋势分析,CLOUD
373,根据“古代神兽与现代都市”设计一部动画设定,CLOUD
374,帮我规划一个适合团队使用的任务管理系统,CLOUD
375,请分析一下为什么这个App的评分一直不高,CLOUD
376,帮我设计一个围绕春节主题的互动活动,CLOUD
377,请根据“会说话的镜子”创作一个奇幻故事,CLOUD
378,帮我写一篇关于互联网隐私保护的文章,CLOUD
379,根据“时间停止的一天”设计一个电影剧本概念,CLOUD
380,帮我分析一下这份用户调查问卷的结果,CLOUD
381,请为一个卖文创产品的店铺设计品牌定位,CLOUD
382,帮我写一份关于新能源车充电站布局的报告,CLOUD
383,根据“天空中的漂浮岛屿”设计一个游戏地图,CLOUD
384,帮我分析一下为什么我的网站打开速度很慢,CLOUD
385,请帮我写一个适合校园广播的节目稿,CLOUD
386,根据“沙漠中的最后一座城市”设计一个世界观,CLOUD
387,帮我为一个在线教育产品设计推广方案,CLOUD
388,请分析一下这篇商业报道中有哪些偏见,CLOUD
389,根据“机器人学会做梦”写一个短篇小说,CLOUD
390,帮我设计一个适合旅行App的用户成长体系,CLOUD
391,请帮我写一份详细的品牌升级方案,CLOUD
392,根据“月球基地发生停电”构思一个剧情任务,CLOUD
393,帮我分析一下这个团队为什么合作效率低,CLOUD
394,请帮我为我的个人网站设计首页文案,CLOUD
395,根据“龙与人工智能共存的世界”设计背景设定,CLOUD
396,帮我写一篇关于社交媒体对青少年的影响的文章,CLOUD
397,请分析一下共享办公空间未来的发展趋势,CLOUD
398,帮我为一个美术展设计观众互动环节,CLOUD
399,根据“只有夜晚才会出现的列车”写一个故事简介,CLOUD
400,请帮我设计一套适合独立游戏工作室的工作流程,CLOUD
